SN,Name,Price,Sales,Image URL,Item URL
0,MACBOOK PRO RETINA 13 INCH EARLY 2015 I5 RAM 16GB DDR3 SSD 256 GB DIJAMIN AWET,Rp11.300.000,,https://cf.shopee.co.id/file/d67131bd297f3be17b47d068573cf49f_tn,https://shopee.co.id/MACBOOK-PRO-RETINA-13-INCH-EARLY-2015-I5-RAM-16GB-DDR3-SSD-256-GB-DIJAMIN-AWET-i.241417815.9535239729
1,Laptop HP ENVY x360 - 13-ay0006au,Rp17.690.000,,https://cf.shopee.co.id/file/4ef05b8f9b82a5688d53ae0e0fb59152_tn,https://shopee.co.id/Laptop-HP-ENVY-x360-13-ay0006au-i.382765182.8315829042
2,Laptop LENOVO ThinkPad Yoga X1 Carbon GEN5 2in1 Touch | i7 10510 16GB 512ssd W10 14.0FHD |,Rp20.999.000 - Rp21.199.000,,https://cf.shopee.co.id/file/e8448e370565ceda27f7c5c1a546bada_tn,https://shopee.co.id/Laptop-LENOVO-ThinkPad-Yoga-X1-Carbon-GEN5-2in1-Touch-i7-10510-16GB-512ssd-W10-14.0FHD--i.217781231.5679038969
3,MACBOOK PRO RETINA 13INCH MID 2014 CORE I5 RAM 8 SSD 128GB,Rp8.800.000,,https://cf.shopee.co.id/file/193dcb1e095e275e77eeb62c4915d070_tn,https://shopee.co.id/MACBOOK-PRO-RETINA-13INCH-MID-2014-CORE-I5-RAM-8-SSD-128GB-i.241417815.9734153256
4,"Laptop Lenovo Yoga 9i 83ID Core i7-1185G7 16GB 1TB SSD TS 14"" WIN10 +OPI SHADOW BLACK",Rp26.799.000,,https://cf.shopee.co.id/file/632d78ec8ce3681edd2a90e2afbf56af_tn,https://shopee.co.id/Laptop-Lenovo-Yoga-9i-83ID-Core-i7-1185G7-16GB-1TB-SSD-TS-14-WIN10-OPI-SHADOW-BLACK-i.91649692.3983867993
5,LAPTOP SEKEN SEJUTAAN CORE 2 DUO MURAH BISA BUAT LAPTOP ONLINE SHOP WHF WFO Dell d620 d630 d820,Rp1.475.000 - Rp1.775.000,"1,9RB Terjual",https://cf.shopee.co.id/file/da559f539933a037636fd55a12953f79_tn,https://shopee.co.id/LAPTOP-SEKEN-SEJUTAAN-CORE-2-DUO-MURAH-BISA-BUAT-LAPTOP-ONLINE-SHOP-WHF-WFO-Dell-d620-d630-d820-i.18300679.1636649723
6,Laptop LENOVO THINKPAD X230 Core I5 RAM 4/8GB HDD 320/500 GB SSD 120/240GB Original Bergaransi,Rp2.750.000 - Rp3.600.000,538 Terjual,https://cf.shopee.co.id/file/740a5966b234d4c62c0dd107abe6d7ee_tn,https://shopee.co.id/Laptop-LENOVO-THINKPAD-X230-Core-I5-RAM-4-8GB-HDD-320-500-GB-SSD-120-240GB-Original-Bergaransi-i.250685702.3543856127
7,Laptop Lenovo ThinkPad X220 Core I5 RAM 4/8GB HDD 320/500GB / SSD 120/240GB Oroginal Bergaransi,Rp2.500.000 - Rp3.400.000,532 Terjual,https://cf.shopee.co.id/file/3147fd9f754369ecb0dd47b770fd1778_tn,https://shopee.co.id/Laptop-Lenovo-ThinkPad-X220-Core-I5-RAM-4-8GB-HDD-320-500GB-SSD-120-240GB-Oroginal-Bergaransi-i.250685702.7832304523
8,Laptop LENOVO THINKPAD T420 CORE I5 RAM 4/8GB HDD 320GB SSD 120/256GB Original,Rp2.750.000 - Rp3.650.000,521 Terjual,https://cf.shopee.co.id/file/fd00b8a4d3df5b96292562245b939216_tn,https://shopee.co.id/Laptop-LENOVO-THINKPAD-T420-CORE-I5-RAM-4-8GB-HDD-320GB-SSD-120-256GB-Original-i.250685702.5742992781
9,LAPTOP ASUS M509BA AMD A4 9125 7th RAM8GB SSD256GB AMD RADEON GRAPHIC WINDOWS 10+OHS 2019 ORIGINAL,Rp5.399.000 - Rp6.529.000,206 Terjual,https://cf.shopee.co.id/file/fa4b299b6176c146b2e6f1f83985923b_tn,https://shopee.co.id/LAPTOP-ASUS-M509BA-AMD-A4-9125-7th-RAM8GB-SSD256GB-AMD-RADEON-GRAPHIC-WINDOWS-10-OHS-2019-ORIGINAL-i.32829345.1638145252
10,Laptop-Murah-Lenovo Thinkpad-T420-Corei5Gen2-Ram4G-HDD320G-Kamera-DVD-Design-Gaming-Win10-Siap Pakai,Rp3.500.000,174 Terjual,https://cf.shopee.co.id/file/b75f4ffcc0f28bf08c031ef8cc0adad2_tn,https://shopee.co.id/Laptop-Murah-Lenovo-Thinkpad-T420-Corei5Gen2-Ram4G-HDD320G-Kamera-DVD-Design-Gaming-Win10-Siap-Pakai-i.279406409.4843403205
11,"Laptop Murah Original Ultrabook Core i3 / i5 Ram 4GB / 8GB HDD 500GB / SSD 256GB 14"" FHD ORIGINAL",Rp2.000.000 - Rp11.000.000,"1,2RB Terjual",https://cf.shopee.co.id/file/21c2c66251ae4325ad0e87d9286b959a_tn,https://shopee.co.id/Laptop-Murah-Original-Ultrabook-Core-i3-i5-Ram-4GB-8GB-HDD-500GB-SSD-256GB-14-FHD-ORIGINAL-i.205412005.9516062660
12,Laptop HP ELITEBOOK/PRBOOK Core I5 RAM 4/8GB HDD 320/500GB SSD 120/240GB Berkualitas,Rp3.000.000,475 Terjual,https://cf.shopee.co.id/file/02f1adaf4372189cde4be670b04108e9_tn,https://shopee.co.id/Laptop-HP-ELITEBOOK-PRBOOK-Core-I5-RAM-4-8GB-HDD-320-500GB-SSD-120-240GB-Berkualitas-i.250685702.5932710237
13,Laptop Asus X441Ma Celeron N4000 Ram 4Gb HDD 1Tb win 10,Rp4.600.000,2RB Terjual,https://cf.shopee.co.id/file/0730abb3945653373d488d78cb38daa2_tn,https://shopee.co.id/Laptop-Asus-X441Ma-Celeron-N4000-Ram-4Gb-HDD-1Tb-win-10-i.379815570.9631291331
14,"LAPTOP ASUS A416MA - INTEL N4020 - 4GB - 256GB SSD - INTEL UHD - 14"" - WIN10 - OFFICE",Rp5.199.000 - Rp5.949.000,128 Terjual,https://cf.shopee.co.id/file/ed4a6c0d7e1dd1f0c631cf1b1b2cb97a_tn,https://shopee.co.id/LAPTOP-ASUS-A416MA-INTEL-N4020-4GB-256GB-SSD-INTEL-UHD-14-WIN10-OFFICE-i.174585297.2773953891
15,"Laptop Lenovo 14W Ultrabook AMD A6-9220C RAM 4GB eMMC 128GB 14"" FHD ORIGINAL BERGARANSI",Rp4.500.000,"2,9RB Terjual",https://cf.shopee.co.id/file/4eed4872b640c62ffa26464951a41c33_tn,https://shopee.co.id/Laptop-Lenovo-14W-Ultrabook-AMD-A6-9220C-RAM-4GB-eMMC-128GB-14-FHD-ORIGINAL-BERGARANSI-i.205412005.9836820198
16,Laptop Murah TOSHIBA DYNABOOK Core I5 RAM 4/8GB HDD 320/500GB SSD 120/240GB Berkualitas Bergaransi,Rp2.350.000 - Rp3.800.000,619 Terjual,https://cf.shopee.co.id/file/4e49d6b0fe15095f5aa5b18b1fe495a9_tn,https://shopee.co.id/Laptop-Murah-TOSHIBA-DYNABOOK-Core-I5-RAM-4-8GB-HDD-320-500GB-SSD-120-240GB-Berkualitas-Bergaransi-i.250685702.4332577253
17,HP Laptop 14s-fq0020AU (21U61PA),Rp6.999.000,117 Terjual,https://cf.shopee.co.id/file/4a2a9779c46d811b7e7e54b94047ccde_tn,https://shopee.co.id/HP-Laptop-14s-fq0020AU-(21U61PA)-i.92611640.8314255520
18,"hp elitebook 8440p .. core i5 4gb 320gb dvd ,,, laptop seken dan murah ...,",Rp2.249.000 - Rp4.075.000,473 Terjual,https://cf.shopee.co.id/file/e14d67f152f28f8d47b0361c312e69dd_tn,https://shopee.co.id/hp-elitebook-8440p-..-core-i5-4gb-320gb-dvd-laptop-seken-dan-murah-...--i.200677627.7612012103
19,Laptop Second Dell Latitude Berkualitas i5 / Bergaransi / Termurah Sikat Bosku...,Rp2.000.000 - Rp3.250.000,142 Terjual,https://cf.shopee.co.id/file/2ca5c18f23eeb340e8fbc3c68473ceab_tn,https://shopee.co.id/Laptop-Second-Dell-Latitude-Berkualitas-i5-Bergaransi-Termurah-Sikat-Bosku...-i.30169103.6716535430
20,LAPTOP LENOVO THINKPAD CORE I5 GEN 5 RAM 4GB HDD 500GB MULUS ORIGINAL BERGARANSI,Rp3.900.000 - Rp5.400.000,1RB Terjual,https://cf.shopee.co.id/file/fb94ec257c43a985631c3d9299223b75_tn,https://shopee.co.id/LAPTOP-LENOVO-THINKPAD-CORE-I5-GEN-5-RAM-4GB-HDD-500GB-MULUS-ORIGINAL-BERGARANSI-i.250685702.9138576386
21,OBRALL BEST SELLER Laptop Murah Dell Latitude HDD 160GB RAM 2GB-4GB DVD Lcd 14inch Cuma 1JUTAAN,Rp1.349.999 - Rp1.424.999,912 Terjual,https://cf.shopee.co.id/file/b5e120e645fb99f05b09bc71128dfa4c_tn,https://shopee.co.id/OBRALL-BEST-SELLER-Laptop-Murah-Dell-Latitude-HDD-160GB-RAM-2GB-4GB-DVD-Lcd-14inch-Cuma-1JUTAAN-i.1485003.437594983
22,"Laptop DELL core i5... kondisi OK BGT dan mulus .. lapop seken cuma 1jt lebih.. FREE tas ORIG,,,",Rp2.149.000 - Rp3.175.000,152 Terjual,https://cf.shopee.co.id/file/3e6ad24b29362ed9ed6adc783af67440_tn,https://shopee.co.id/Laptop-DELL-core-i5...-kondisi-OK-BGT-dan-mulus-..-lapop-seken-cuma-1jt-lebih..-FREE-tas-ORIG--i.200677627.7814374637
23,"LAPTOP ASUS M509BA HD421 HD422 - AMD4-9125 - 4GB - 256GB - BACKLIT KB - 15.6"" - WIN10 - OFFICE",Rp5.199.000 - Rp5.649.000,130 Terjual,https://cf.shopee.co.id/file/1f7905ebfb9e6c388d93ee5a52c81958_tn,https://shopee.co.id/LAPTOP-ASUS-M509BA-HD421-HD422-AMD4-9125-4GB-256GB-BACKLIT-KB-15.6-WIN10-OFFICE-i.174585297.3144478552
24,Laptop DELL D630 D620 Core2Duo - Ram 2GB / Laptop Dell Latitude E4300 14 Inch Free Mouse Dan Tas,Rp1.400.000,106 Terjual,https://cf.shopee.co.id/file/5650d5592c2d306f2cfb1acfa4055ae6_tn,https://shopee.co.id/Laptop-DELL-D630-D620-Core2Duo-Ram-2GB-Laptop-Dell-Latitude-E4300-14-Inch-Free-Mouse-Dan-Tas-i.83236720.8413550674
25,LAPTOP GAMING CORE I5 MURAH - SIAP PAKAI EDITING KULIAH KERJA BERGARANSI,Rp2.750.000 - Rp3.600.000,48 Terjual,https://cf.shopee.co.id/file/bca8dcaadf61a7bfee61e35b0c8a2b53_tn,https://shopee.co.id/LAPTOP-GAMING-CORE-I5-MURAH-SIAP-PAKAI-EDITING-KULIAH-KERJA-BERGARANSI-i.220783164.6939075291
26,LAPTOP ASUS VIVOBOOK FLIP 14 TP401MA RAM4GB INTEL N4020 SSD 256GB 14FHD IPS TOUCHSCREEN WINDOWS 10,Rp6.899.000 - Rp7.029.000,34 Terjual,https://cf.shopee.co.id/file/3e76b1793a9e4921fa9b5f975ddd05f3_tn,https://shopee.co.id/LAPTOP-ASUS-VIVOBOOK-FLIP-14-TP401MA-RAM4GB-INTEL-N4020-SSD-256GB-14FHD-IPS-TOUCHSCREEN-WINDOWS-10-i.186855095.7046226692
27,Laptop Murah LENOVO THINKPAD Core I5 - RAM 4GB/8GB - HDD 320GB / 500GB SSD 120GB / 240GB,Rp2.450.000 - Rp4.900.000,"2,5RB Terjual",https://cf.shopee.co.id/file/08bc7c75455cadc77ca1b6ac18e17ffc_tn,https://shopee.co.id/Laptop-Murah-LENOVO-THINKPAD-Core-I5-RAM-4GB-8GB-HDD-320GB-500GB-SSD-120GB-240GB-i.250685702.4634153452
28,Laptop Lenovo ThinkPad T410 Core i5 Ram 8gb Ssd 512gb Super super Murah Mulus Bergaransi,Rp2.475.000 - Rp3.880.000,210 Terjual,https://cf.shopee.co.id/file/3a9a230b0c0a0b8bdbc9af38ad593e02_tn,https://shopee.co.id/Laptop-Lenovo-ThinkPad-T410-Core-i5-Ram-8gb-Ssd-512gb-Super-super-Murah-Mulus-Bergaransi-i.216383410.6616684835
29,LAPTOP GAMING CORE I5 MURAH - SIAP PAKAI EDITING KULIAH KERJA BERGARANSI X94,Rp6.568.000,378 Terjual,https://cf.shopee.co.id/file/4a48918527eb7742d5d2813b71e2e569_tn,https://shopee.co.id/LAPTOP-GAMING-CORE-I5-MURAH-SIAP-PAKAI-EDITING-KULIAH-KERJA-BERGARANSI-X94-i.388919318.8427902293
30,ASUS VIVOBOOK A416MA N4020 RAM8GB HDD1TB INTEL UHD GRAPHIC WINDOWS + OFFICE 2019 ORIGINAL,Rp5.199.000 - Rp6.249.000,"1,4RB Terjual",https://cf.shopee.co.id/file/0d64eb82587774ba6ba2115908308b71_tn,https://shopee.co.id/ASUS-VIVOBOOK-A416MA-N4020-RAM8GB-HDD1TB-INTEL-UHD-GRAPHIC-WINDOWS-OFFICE-2019-ORIGINAL-i.32829345.1358485680
31,X240 Core i5 Ram 8 SSD 240 GB Lenovo laptop bekas murah ci5 X 240 Thinkpad big ramadan sale,Rp2.975.000 - Rp3.700.000,236 Terjual,https://cf.shopee.co.id/file/ee0a6a7b2e8c1e5989d87f98e15bba77_tn,https://shopee.co.id/X240-Core-i5-Ram-8-SSD-240-GB-Lenovo-laptop-bekas-murah-ci5-X-240-Thinkpad-big-ramadan-sale-i.321814810.4072770057
32,Cover Garskin Laptop Asus A416 A416J A416JA A416JF A416JP A416M A416MA Transparan Gambar Fullbody,Rp40.000 - Rp150.000,46 Terjual,https://cf.shopee.co.id/file/4f1972cf0566d8b33b42f8e0c795e4e9_tn,https://shopee.co.id/Cover-Garskin-Laptop-Asus-A416-A416J-A416JA-A416JF-A416JP-A416M-A416MA-Transparan-Gambar-Fullbody-i.10573080.5678362329
33,"LAPTOP ASUS A416JA - i3-1005G1 - 4GB - 1TB - BACKLIT KB - 14"" - WIN10 - OFFICE HOME STUDENT",Rp6.899.000 - Rp7.349.000,108 Terjual,https://cf.shopee.co.id/file/3c270ac5426e4af7facf2c2d631b48c2_tn,https://shopee.co.id/LAPTOP-ASUS-A416JA-i3-1005G1-4GB-1TB-BACKLIT-KB-14-WIN10-OFFICE-HOME-STUDENT-i.174585297.4303244175
34,Laptop ASUS Vivobook Flip 14 2in1 FHD Touch Intel Pentium N5000 4GB 64GB 128GB Win10 TP401MA,Rp5.799.000 - Rp5.999.000,18 Terjual,https://cf.shopee.co.id/file/3016c49a896efcf28e95fc83d6000fc0_tn,https://shopee.co.id/Laptop-ASUS-Vivobook-Flip-14-2in1-FHD-Touch-Intel-Pentium-N5000-4GB-64GB-128GB-Win10-TP401MA-i.290474546.2921753483
35,Laptop Lenovo Second Berkualitas i5 / Bergaransi / Termurah Sikat Bosku,Rp2.075.000 - Rp4.150.000,694 Terjual,https://cf.shopee.co.id/file/368ff1e6ff6d65aab660864bbade54cb_tn,https://shopee.co.id/Laptop-Lenovo-Second-Berkualitas-i5-Bergaransi-Termurah-Sikat-Bosku-i.30169103.1949980283
36,LAPTOP DELL LATITUDE CORE I5/I7 MULUS ORIGINAL BERGARANSI,Rp2.450.000 - Rp6.700.000,271 Terjual,https://cf.shopee.co.id/file/7911f897a4e196b8508b8dc3d600a4ae_tn,https://shopee.co.id/LAPTOP-DELL-LATITUDE-CORE-I5-I7-MULUS-ORIGINAL-BERGARANSI-i.250685702.4343353753
37,"LAPTOP LENOVO IDEAPAD SLIM 3 - AMD A3020e - 4GB - 256GB SSD - RADOEN GRAPHICS - 14"" - W10 - OFFICE",Rp4.999.000 - Rp5.450.000,115 Terjual,https://cf.shopee.co.id/file/dbea82b32cbefdfbc8188c35f8abb210_tn,https://shopee.co.id/LAPTOP-LENOVO-IDEAPAD-SLIM-3-AMD-A3020e-4GB-256GB-SSD-RADOEN-GRAPHICS-14-W10-OFFICE-i.174585297.2740570359
38,"Laptop Bekas Core i5 / RAM 8GB / 500GB / 1TB / 2TB/SSD / 14"" / Windows 10, Laptop Bekas Core i5 Dell",Rp2.350.000 - Rp3.750.000,510 Terjual,https://cf.shopee.co.id/file/73c5bf9a52cbca81c212b5e55d977a96_tn,https://shopee.co.id/Laptop-Bekas-Core-i5-RAM-8GB-500GB-1TB-2TB-SSD-14-Windows-10-Laptop-Bekas-Core-i5-Dell-i.20507921.1186092271
39,laptop murah bekas kantor core2duo,Rp1.205.025,405 Terjual,https://cf.shopee.co.id/file/067c2c7dc478b3d817f86ebf289d57f7_tn,https://shopee.co.id/laptop-murah-bekas-kantor-core2duo-i.220559016.6143089414
40,"LENOVO thinkpad series ( laptop core i5, second, murah RAM 8 GB, SDD 128 GB, laptop bekas, laptop i5",Rp2.750.000 - Rp3.350.000,387 Terjual,https://cf.shopee.co.id/file/37b0dd5175e3345e1eb64ae9f9bfc662_tn,https://shopee.co.id/LENOVO-thinkpad-series-(-laptop-core-i5-second-murah-RAM-8-GB-SDD-128-GB-laptop-bekas-laptop-i5-i.160702726.2815456730
41,"LAPTOP ASUS A416MA - INTEL N4020 - 4GB - 1TB - 14"" - BACKLIT KB - WIN10 - OFFICE",Rp5.099.000 - Rp5.549.000,259 Terjual,https://cf.shopee.co.id/file/a110d6f361b68d0bc7ede6365c75a9b2_tn,https://shopee.co.id/LAPTOP-ASUS-A416MA-INTEL-N4020-4GB-1TB-14-BACKLIT-KB-WIN10-OFFICE-i.174585297.2740549593
42,LAPTOP ASUS X441BA AMD A4-9125 4GB 1TB DVD VGA R3 WIN10 RESMI,Rp5.249.000,263 Terjual,https://cf.shopee.co.id/file/f7190299ac089fb2ed715ee7255e1e57_tn,https://shopee.co.id/LAPTOP-ASUS-X441BA-AMD-A4-9125-4GB-1TB-DVD-VGA-R3-WIN10-RESMI-i.17662741.1621342138
43,Laptop Lenovo Ideapad Slim 3 Ryzen 3 4300U 8GB 512GB UMA W10 1YID 21ID,Rp7.495.000 - Rp7.745.000,103 Terjual,https://cf.shopee.co.id/file/2bf3b27c63cb63c6e2115102b9067ef6_tn,https://shopee.co.id/Laptop-Lenovo-Ideapad-Slim-3-Ryzen-3-4300U-8GB-512GB-UMA-W10-1YID-21ID-i.148846460.3719826910
44,"LAPTOP ASUS E410MA - N4020 - 4GB -512GB SSD - NUMPAD - 14""FHD IPS - WIN10 - OFFICE HOME STUDEN",Rp6.499.000,94 Terjual,https://cf.shopee.co.id/file/152d4556ca7136e2d7d0361674acccee_tn,https://shopee.co.id/LAPTOP-ASUS-E410MA-N4020-4GB-512GB-SSD-NUMPAD-14-FHD-IPS-WIN10-OFFICE-HOME-STUDEN-i.174585297.3550885385
45,MACBOOK PRO RETINA 15 INCH MID 2014 CORE I7 RAM 16GB SSD 512GB MULUS,Rp11.500.000,,https://cf.shopee.co.id/file/f971ef546ae851d59f1683b5eb81394e_tn,https://shopee.co.id/MACBOOK-PRO-RETINA-15-INCH-MID-2014-CORE-I7-RAM-16GB-SSD-512GB-MULUS-i.241417815.6684139541
46,MACBOOK PRO RETINA 13 INCH EARLY 2015 I5 8GB SSD 256GB BODY SILVER,Rp10.300.000,,https://cf.shopee.co.id/file/54e621de29371faba5d260f9b8d931d3_tn,https://shopee.co.id/MACBOOK-PRO-RETINA-13-INCH-EARLY-2015-I5-8GB-SSD-256GB-BODY-SILVER-i.241417815.8035242933
47,Lenovo Thinkpad X260 Ci 5 Gen 6 - Best Price & Best Quality,Rp4.400.000 - Rp4.750.000,1 Terjual,https://cf.shopee.co.id/file/e04dd19e3a0095e481b2d64057bae43b_tn,https://shopee.co.id/Lenovo-Thinkpad-X260-Ci-5-Gen-6-Best-Price-Best-Quality-i.321826072.9228582131
48,Laptop acer E14 core i3 Nvidia GEFORCE laptop second laptop second core i3 laptop second murah,Rp3.850.000,,https://cf.shopee.co.id/file/1aad9be09f8ca67de8663371635fe287_tn,https://shopee.co.id/Laptop-acer-E14-core-i3-Nvidia-GEFORCE-laptop-second-laptop-second-core-i3-laptop-second-murah-i.267447208.3036392493
49,MACBOOK PRO RETINA 13INCH LATE 2013 CORE I5 RAM8 SSD256 BODY MULUS,Rp8.700.000,,https://cf.shopee.co.id/file/8b02ddd8058f69a7530fa995877be551_tn,https://shopee.co.id/MACBOOK-PRO-RETINA-13INCH-LATE-2013-CORE-I5-RAM8-SSD256-BODY-MULUS-i.241417815.9633612519
